"GDP, current prices (Billions of U.S. dollars)",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Djibouti,0.334,0.338,0.357,0.341,0.373,0.396,0.409,0.452,0.462,0.478,0.466,0.492,0.498,0.494,0.503,0.514,0.541,0.556,0.577,0.596,0.628,0.666,0.709,0.769,0.848,0.984,1.015,1.099,1.239,1.354,1.455,1.588
Dominica,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.502,0.524
Dominican Republic,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.893,58.023,60.703,62.061,65.322
Ecuador,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,102.292
Egypt,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.26,71.114,79.77,89.188,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567
El Salvador,3.25,2.377,2.311,2.327,2.366,2.762,3.157,4.801,5.311,5.955,6.938,8.086,9.501,10.316,11.135,12.008,12.465,13.134,13.813,14.307,15.047,15.798,17.094,18.551,20.105,21.431,20.661,21.418,23.139,23.814,24.351,25.054
Equatorial Guinea,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.156,1.672,2.061,3.765,5.95,8.184,10.087,13.072,19.75,15.028,16.299,21.329,22.39,21.943,21.462
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783,0.483,0.56,0.624,0.749,0.767,0.809,0.794,0.706,0.752,0.729,0.87,1.109,1.098,1.211,1.318,1.38,1.857,2.117,2.608,3.092,3.502,4.052
Ethiopia,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,8.431,8.826,8.909,8.078,7.927,8.235,8.223,7.851,8.623,10.142,12.408,15.283,19.701,26.839,32.464,29.917,31.958,43.134,47.656,55.512
FYR Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378
Fiji,1.149,1.205,1.168,1.32,1.205,1.136,1.21,1.337,1.384,1.532,1.635,1.825,1.97,2.129,2.094,1.656,1.942,1.684,1.66,1.843,2.316,2.727,3.007,3.103,3.405,3.647,2.971,3.251,3.775,3.972,4.19,4.484
Finland,51.065,53.028,56.234,73.66,91.782,108.806,119.237,141.806,128.279,113.104,89.323,103.761,134.35,132.155,127.005,134.111,135.403,125.908,129.361,140.047,171.398,197.035,204.786,216.742,255.739,285.087,252.137,248.262,273.925,256.849,270.065,273.042
France,564.582,534.333,559.846,776.121,939.453,1025.679,1031.314,1278.666,1280.302,1412.1,1331.659,1404.479,1611.198,1614.708,1462.606,1512.957,1502.245,1372.452,1383.406,1505.649,1851.66,2126.995,2207.45,2327.052,2666.805,2937.321,2700.658,2651.772,2865.304,2682.901,2809.39,2853.832
Gabon,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.019,5.31,6.497,7.756,9.459,10.154,12.439,15.509,12.152,14.359,18.203,17.181,17.596,18.209
Gambia,0.332,0.238,0.29,0.226,0.303,0.352,0.37,0.434,0.455,0.493,0.529,0.523,0.547,0.571,0.591,0.607,0.623,0.607,0.603,0.533,0.53,0.579,0.624,0.655,0.799,0.966,0.901,0.952,0.898,0.91,0.899,0.833
Georgia,NA,NA,NA,NA,NA,NA,NA,7.754,6.358,3.690,2.701,0.827,1.907,3.063,3.511,3.607,2.805,3.057,3.218,3.396,3.991,5.126,6.411,7.745,10.173,12.795,10.767,11.638,14.435,15.847,16.141,16.515
German Federal Republic,689.366,649.558,658.784,940.833,1170.617,1262.02,1252.915,1592.71,1869.104,2128.558,2069.766,2211.022,2594.371,2504.671,2221.738,2246.445,2202.845,1955.673,1952.325,2086.496,2510.528,2823.071,2866.308,3005.081,3444.723,3770.15,3426.672,3423.466,3761.142,3545.946,3753.687,3896.788
Ghana,38.543,12.064,10.123,9.192,7.844,8.317,8.424,9.979,11.238,11.043,9.713,8.872,10.517,11.298,11.195,12.16,12.576,8.107,8.647,10.032,12.418,14.451,17.461,20.401,24.758,28.528,25.59,32.174,39.565,41.939,47.806,38.774
Greece,49.634,48.337,47.964,56.434,65.661,76.465,79.241,97.979,105.642,116.624,109.01,116.539,136.968,145.875,143.343,144.645,149.04,132.197,136.308,154.376,202.311,240.848,248.207,273.558,318.94,356.14,330.837,299.919,288.062,245.807,239.937,236.455
Grenada,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911
Guatemala,8.406,8.796,10.385,5.615,6.502,7.042,8.118,7.106,8.687,9.625,10.462,11.855,13.314,14.218,16.103,17.488,16.492,17.187,18.703,20.777,21.918,23.965,27.211,30.231,34.113,39.137,37.734,41.338,47.655,50.388,53.851,58.722
Guinea,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.866,6.034,7.304,8.374,8.79
Guinea-Bissau,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.324,0.456,0.5,0.386,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.588,0.592,0.697,0.869,0.829,0.851,1.099,0.99,1.046,1.055
Guyana,0.466,0.465,0.474,0.523,0.655,0.615,0.779,0.652,0.735,0.602,0.721,0.874,0.993,1.116,1.188,1.114,1.147,1.123,1.127,1.16,1.197,1.26,1.311,1.455,1.741,1.916,2.023,2.262,2.582,2.854,2.99,3.078
Haiti,1.9,2.105,2.337,2.597,1.279,0.841,0.778,0.99,0.888,0.533,0.61,1.775,2.813,2.908,3.339,3.724,4.154,3.954,3.596,3.472,2.96,3.538,4.31,4.756,5.885,6.55,6.584,6.62,7.516,7.89,8.451,8.774
Honduras,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.464,18.436,19.688
Hong Kong SAR,29.907,33.511,35.657,41.074,50.625,59.708,68.791,76.93,88.96,104.272,120.355,135.813,144.652,159.719,177.356,168.885,165.77,171.669,169.407,166.35,161.384,169.097,181.57,193.534,211.599,219.28,214.046,228.637,248.514,262.627,275.697,291.463
